# VMT_RVA	ClassName	InstanceSize	ParentVMT	PublishedMethodCount
401a20	TObject	0x10	0x0	0
402678	TCustomAttribute	0x10	0x401970	0
4027c8	WeakAttribute	0x10	0x4025c8	0
4028e0	UnsafeAttribute	0x10	0x4025c8	0
402a00	RefAttribute	0x10	0x4025c8	0
402b18	VolatileAttribute	0x10	0x4025c8	0
402c38	StoredAttribute	0x20	0x4025c8	0
402f18	HPPGENAttribute	0x10	0x4025c8	0
403698	TInterfacedObject	0x20	0x401970	0
403978	TNoRefCountObject	0x18	0x401970	0
404728	TMarshal	0x10	0x401970	0
41fd28	TMultiWaitEvent.TMultiWaiter	0x28	0x401970	0
41ffb8	TMultiWaitEvent	0x10	0x401970	0
42da00	TLanguages	0x18	0x401970	0
42e0a8	Exception	0x38	0x401970	0
42eaa8	EArgumentException	0x38	0x42dff8	0
42ebe8	EArgumentOutOfRangeException	0x38	0x42e9f8	0
42ed38	EArgumentNilException	0x38	0x42e9f8	0
42ee80	ENotSupportedException	0x38	0x42dff8	0
42efc8	EListError	0x38	0x42dff8	0
42f0f8	EInvalidOpException	0x38	0x42dff8	0
42f258	EAbort	0x38	0x42dff8	0
42f380	EHeapException	0x40	0x42dff8	0
42f520	EOutOfMemory	0x40	0x42f2d0	0
42f650	EInOutError	0x48	0x42dff8	0
42f8a0	EPathTooLongException	0x48	0x42f5a0	0
42f9e8	EDirectoryNotFoundException	0x48	0x42f5a0	0
42fb38	EFileNotFoundException	0x48	0x42f5a0	0
42fc80	EInOutArgumentException	0x40	0x42e9f8	0
42fed0	EExternal	0x40	0x42dff8	0
430028	EExternalException	0x40	0x42fe20	0
430168	EIntError	0x40	0x42fe20	0
430290	EDivByZero	0x40	0x4300b8	0
4303c0	ERangeError	0x40	0x4300b8	0
4304f0	EIntOverflow	0x40	0x4300b8	0
430620	EMathError	0x40	0x42fe20	0
430750	EInvalidOp	0x40	0x430570	0
430880	EZeroDivide	0x40	0x430570	0
4309b0	EOverflow	0x40	0x430570	0
430ad8	EUnderflow	0x40	0x430570	0
430c08	EInvalidPointer	0x40	0x42f2d0	0
430d40	EInvalidCast	0x38	0x42dff8	0
430e70	EConvertError	0x38	0x42dff8	0
430fa8	EAccessViolation	0x40	0x42fe20	0
4310e0	EPrivilege	0x40	0x42fe20	0
431210	EStackOverflow	0x40	0x42fe20	0
431348	EControlC	0x40	0x42fe20	0
431470	EVariantError	0x38	0x42dff8	0
4315a8	EPropReadOnly	0x38	0x42dff8	0
4316e0	EPropWriteOnly	0x38	0x42dff8	0
431818	EAssertionFailed	0x38	0x42dff8	0
431950	EAbstractError	0x38	0x42dff8	0
431a88	EIntfCastError	0x38	0x42dff8	0
431bc0	EOSError	0x40	0x42dff8	0
431d10	ESafecallException	0x38	0x42dff8	0
431e50	EMonitor	0x38	0x42dff8	0
431f78	EMonitorLockException	0x38	0x431da0	0
4320c0	ENoMonitorSupportException	0x38	0x431da0	0
432210	ENotImplemented	0x38	0x42dff8	0
432348	EObjectDisposed	0x38	0x42dff8	0
432d18	TThreadLocalCounter	0x90	0x401970	0
433050	TMultiReadExclusiveWriteSynchronizer	0x58	0x4035e8	0
433538	TStringBuilder	0x20	0x401970	0
435008	EEncodingError	0x38	0x42dff8	0
4351a0	TEncoding	0x20	0x401970	0
436a90	TMBCSEncoding	0x30	0x4350f0	0
4370c8	TUTF7Encoding	0x30	0x4369e0	0
4373f0	TUTF8Encoding	0x30	0x437018	0
4377d8	TUnicodeEncoding	0x20	0x4350f0	0
437b48	TBigEndianUnicodeEncoding	0x20	0x437728	0
437f90	TMarshaller.TDisposer	0xb8	0x4035e8	0
4568e0	ESafeArrayError	0x40	0x42dff8	0
456af0	ESafeArrayBoundsError	0x40	0x456830	0
456c38	ESafeArrayLockedError	0x40	0x456830	0
457bb0	TCustomVariantType	0x20	0x4038c8	0
458410	TInvokeableVariantType	0x28	0x457b00	0
458828	EVariantInvalidOpError	0x38	0x4313c0	0
458970	EVariantTypeCastError	0x38	0x4313c0	0
458ab8	EVariantOverflowError	0x38	0x4313c0	0
458c00	EVariantInvalidArgError	0x38	0x4313c0	0
458d48	EVariantBadVarTypeError	0x38	0x4313c0	0
458e90	EVariantBadIndexError	0x38	0x4313c0	0
458fd8	EVariantArrayLockedError	0x38	0x4313c0	0
459120	EVariantArrayCreateError	0x38	0x4313c0	0
459268	EVariantNotImplError	0x38	0x4313c0	0
4593a8	EVariantOutOfMemoryError	0x38	0x4313c0	0
4594f0	EVariantUnexpectedError	0x38	0x4313c0	0
459638	EVariantDispatchError	0x38	0x4313c0	0
459780	EVariantInvalidNullOpError	0x38	0x458778	0
468f98	TPublishableVariantType	0x30	0x458360	0
46ad20	EPropertyError	0x38	0x42dff8	0
46ae58	EPropertyConvertError	0x38	0x42dff8	0
46d178	TPropSet<System.TObject>	0x10	0x401970	0
46d398	TPropSet<System.ShortInt>	0x10	0x401970	0
46d5c0	TPropSet<System.Byte>	0x10	0x401970	0
46d7d8	TPropSet<System.SmallInt>	0x10	0x401970	0
46da00	TPropSet<System.Word>	0x10	0x401970	0
46dc18	TPropSet<System.Integer>	0x10	0x401970	0
46de38	TPropSet<System.Cardinal>	0x10	0x401970	0
46f370	TPropSet<System.ShortString>	0x10	0x401970	0
46f5a8	TPropSet<System.AnsiString>	0x10	0x401970	0
46f7e0	TPropSet<System.RawByteString>	0x10	0x401970	0
46fa20	TPropSet<System.string>	0x10	0x401970	0
46fc50	TPropSet<System.WideString>	0x10	0x401970	0
46fe88	TPropSet<System.Single>	0x10	0x401970	0
4700a8	TPropSet<System.Double>	0x10	0x401970	0
4702c8	TPropSet<System.Extended>	0x10	0x401970	0
4704f0	TPropSet<System.Comp>	0x10	0x401970	0
470708	TPropSet<System.Currency>	0x10	0x401970	0
470930	TPropSet<System.Variant>	0x10	0x401970	0
470fa0	TPropSet<System.TypInfo.TProc>	0x10	0x401970	0
4711e0	TPropSet<System.Int64>	0x10	0x401970	0
471400	TPropSet<System.IInterface>	0x10	0x401970	0
475a00	TStringComparer	0x28	0x4760c0	0
475ba0	TIStringComparer	0x28	0x4760c0	0
475d28	TOrdinalIStringComparer	0x28	0x475950	0
476170	TCustomComparer<System.string>	0x28	0x4038c8	0
47de70	TSynchroObject	0x10	0x401970	0
47e128	THandleObject	0x20	0x47ddc0	0
47e4e8	TEvent	0x20	0x47e078	0
47e7a8	TCriticalSection	0x38	0x47ddc0	0
47eac0	TLightweightEvent	0x28	0x47ddc0	0
480730	TMultiWaitEventImpl	0x20	0x41ff08	0
480f40	EInsufficientRtti	0x38	0x42dff8	0
481078	EInvocationError	0x38	0x42dff8	0
4811a8	ENonPublicType	0x38	0x42dff8	0
482108	TRttiObject	0x38	0x401970	0
482590	TRttiNamedObject	0x38	0x482058	0
482768	TRttiType	0x38	0x4824e0	0
4832b8	TRttiMember	0x38	0x4824e0	0
483478	TRttiStructuredType	0x38	0x4826b8	0
483658	TRttiDataMember	0x38	0x483208	0
483958	TRttiField	0x48	0x4835a8	0
483ca0	TRttiManagedField	0x38	0x482058	0
483e58	TRttiRecordType	0x40	0x4833c8	0
484198	TRttiProperty	0x40	0x4835a8	0
484450	TRttiInstanceProperty	0x40	0x4840e8	0
484798	TRttiParameter	0x38	0x4824e0	0
484de8	TMethodImplementation.TRuntimeTypeInfos	0x18	0x401970	0
485368	TMethodImplementation.TInvokeInfo	0x50	0x401970	0
4858b0	TMethodImplementation	0x38	0x401970	0
485ba8	TRttiMethod	0x40	0x483208	0
486300	TRttiIndexedProperty	0x48	0x483208	0
4867f0	TRttiInstanceType	0x68	0x4833c8	0
486e50	TRttiInterfaceType	0x48	0x4833c8	0
4871e0	TRttiOrdinalType	0x38	0x4826b8	0
487480	TRttiInt64Type	0x38	0x4826b8	0
4876d0	TRttiInvokableType	0x48	0x4826b8	0
487b58	TRttiMethodType	0x48	0x487620	0
487e40	TRttiProcedureType	0x48	0x487620	0
4880f8	TRttiClassRefType	0x38	0x4826b8	0
488350	TRttiEnumerationType	0x38	0x487130	0
4885d0	TRttiSetType	0x38	0x4826b8	0
488890	TRttiStringType	0x38	0x4826b8	0
488aa0	TRttiAnsiStringType	0x38	0x4887e0	0
488cc0	TRttiFloatType	0x38	0x4826b8	0
488ed0	TRttiArrayType	0x38	0x4826b8	0
4891d8	TRttiDynamicArrayType	0x38	0x4826b8	0
4894c8	TRttiPointerType	0x38	0x4826b8	0
489738	TRttiPackage	0x50	0x4824e0	0
489f30	TEnumerator<System.Pointer>	0x10	0x401970	0
48a108	TEnumerable<System.Pointer>	0x10	0x401970	0
48a568	TList<System.Pointer>.TEnumerator	0x20	0x489e80	0
48a7d0	TList<System.Pointer>	0x58	0x48a058	0
48beb0	TEnumerator<System.Rtti.TMethodImplementation.TParamLoc>	0x10	0x401970	0
48c0c0	TEnumerable<System.Rtti.TMethodImplementation.TParamLoc>	0x10	0x401970	0
48c670	TList<System.Rtti.TMethodImplementation.TParamLoc>.TEnumerator	0x20	0x48be00	0
48c918	TList<System.Rtti.TMethodImplementation.TParamLoc>	0x58	0x48c010	0
48ef40	TEnumerator<System.Rtti.TRttiObject>	0x10	0x401970	0
48f130	TEnumerable<System.Rtti.TRttiObject>	0x10	0x401970	0
48fbf0	TDictionary<System.Pointer,System.Rtti.TRttiObject>	0x60	0x48e3d0	0
490a40	TPrivateHeap	0x38	0x401970	0
490df8	TEnumerator<System.Rtti.TPrivateHeap.THeapItem>	0x10	0x401970	0
490ff8	TEnumerable<System.Rtti.TPrivateHeap.THeapItem>	0x10	0x401970	0
491558	TList<System.Rtti.TPrivateHeap.THeapItem>.TEnumerator	0x20	0x490d48	0
4917f0	TList<System.Rtti.TPrivateHeap.THeapItem>	0x58	0x490f48	0
493b80	TFinalizer	0x38	0x4035e8	0
4948b8	TValueDataImpl	0x40	0x4035e8	0
49a1b0	TRealPackage	0x68	0x489688	0
49a448	TOrphanPackage	0x50	0x489688	0
49a6d8	TRttiPool	0x28	0x401970	0
49b3d0	TEnumerator<System.TypInfo.PTypeInfo>	0x10	0x401970	0
49b5c0	TEnumerable<System.TypInfo.PTypeInfo>	0x10	0x401970	0
49c640	TDictionary<System.TypInfo.PTypeInfo,System.string>	0x60	0x49ada0	0
49e910	TDictionary<System.string,System.TypInfo.PTypeInfo>	0x60	0x49d648	0
49f830	TRttiPool.GetPackageList.DoUpdate$ActRec	0x28	0x4035e8	0
4a0430	TPoolToken	0x20	0x4035e8	0
4a16a8	TEnumerator<System.TCustomAttribute>	0x10	0x401970	0
4a1898	TEnumerable<System.TCustomAttribute>	0x10	0x401970	0
4a1da0	TList<System.TCustomAttribute>.TEnumerator	0x20	0x4a15f8	0
4a2020	TList<System.TCustomAttribute>	0x58	0x4a17e8	0
4a3730	LazyLoadAttributes.MakeClosure$ActRec	0x40	0x4035e8	0
4a4a18	TRttiInstanceMethodClassic	0x58	0x485af8	0
4a4db0	TRttiInstMethParameter	0x58	0x4846e8	0
4a5cd8	TRttiInstanceMethodEx	0x48	0x485af8	0
4a6cf0	TRttiInstancePropertyClassic	0x40	0x4843a0	0
4a6ee8	TRttiInstancePropertyEx	0x40	0x4843a0	0
4a70d8	TRttiInstanceFieldClassic	0x48	0x4838a8	0
4a7338	TRttiInstanceFieldEx	0x48	0x4838a8	0
4aa058	TEnumerator<System.Rtti.TRttiProperty>	0x10	0x401970	0
4aa248	TEnumerable<System.Rtti.TRttiProperty>	0x10	0x401970	0
4aa758	TList<System.Rtti.TRttiProperty>.TEnumerator	0x20	0x4a9fa8	0
4aa9e0	TList<System.Rtti.TRttiProperty>	0x58	0x4aa198	0
4ac070	TEnumerator<System.Rtti.TRttiMethod>	0x10	0x401970	0
4ac260	TEnumerable<System.Rtti.TRttiMethod>	0x10	0x401970	0
4ac760	TList<System.Rtti.TRttiMethod>.TEnumerator	0x20	0x4abfc0	0
4ac9e0	TList<System.Rtti.TRttiMethod>	0x58	0x4ac1b0	0
4ae070	TEnumerator<System.Rtti.TRttiField>	0x10	0x401970	0
4ae258	TEnumerable<System.Rtti.TRttiField>	0x10	0x401970	0
4ae758	TList<System.Rtti.TRttiField>.TEnumerator	0x20	0x4adfc0	0
4ae9d0	TList<System.Rtti.TRttiField>	0x58	0x4ae1a8	0
4b0058	TProcSig	0x38	0x482058	0
4b02e0	TProcParam	0x38	0x4846e8	0
4b0d20	TRttiRecordField	0x48	0x4838a8	0
4b11a0	TRttiRecordMethod	0x48	0x485af8	0
4b3ef8	TEnumerator<System.Rtti.TRttiManagedField>	0x10	0x401970	0
4b40f0	TEnumerable<System.Rtti.TRttiManagedField>	0x10	0x401970	0
4b4638	TList<System.Rtti.TRttiManagedField>.TEnumerator	0x20	0x4b3e48	0
4b48c0	TList<System.Rtti.TRttiManagedField>	0x58	0x4b4040	0
4b8038	TRttiIntfMethParameter	0x50	0x4846e8	0
4b8258	TRttiIntfMethod	0x60	0x485af8	0
4badd8	TObjectDictionary<System.Pointer,System.Rtti.TRttiObject>	0x68	0x48fb40	0
4c67f0	EStreamError	0x38	0x42dff8	0
4c6920	EFileStreamError	0x38	0x4c6740	0
4c6ac8	EFCreateError	0x38	0x4c6870	0
4c6bf8	EFOpenError	0x38	0x4c6870	0
4c6d28	EFilerError	0x38	0x4c6740	0
4c6e58	EReadError	0x38	0x4c6c78	0
4c6f88	EWriteError	0x38	0x4c6c78	0
4c70b8	EClassNotFound	0x38	0x4c6c78	0
4c71f0	EResNotFound	0x38	0x42dff8	0
4c7320	EBitsError	0x38	0x42dff8	0
4c7450	EStringListError	0x38	0x42ef18	0
4c7588	EComponentError	0x38	0x42dff8	0
4c76c0	EOutOfResources	0x40	0x42f470	0
4c77f8	EInvalidOperation	0x38	0x42dff8	0
4c7a90	TListEnumerator	0x20	0x401970	0
4c7cf8	TList	0x28	0x401970	0
4c87d8	TThreadList	0x28	0x401970	0
4c8c58	TInterfaceListEnumerator	0x20	0x401970	0
4c90c8	TInterfaceList	0x30	0x4035e8	0
4c9880	TBits	0x20	0x401970	0
4c9b40	TPersistent	0x10	0x401970	0
4c9e08	TInterfacedPersistent	0x20	0x4c9a90	0
4ca050	TCollectionItem	0x20	0x4c9a90	0
4ca460	TCollectionEnumerator	0x20	0x401970	0
4ca6e8	TCollection	0x30	0x4c9a90	0
4caf20	TOwnedCollection	0x38	0x4ca638	0
4cb2e0	TStringsEnumerator	0x20	0x401970	0
4cb568	TStrings	0x40	0x4c9a90	0
4cd468	TStringList	0x80	0x4cb4b8	0
4ce328	TStream	0x10	0x401970	0
4d17d0	THandleStream	0x18	0x4ce278	0
4d1b60	TFileStream	0x20	0x4d1720	0
4d1eb0	TBufferedFileStream	0x48	0x4d1ab0	0
4d23e8	TCustomMemoryStream	0x28	0x4ce278	0
4d2818	TMemoryStream	0x30	0x4d2338	0
4d2ca8	TBytesStream	0x38	0x4d2768	0
4d2f40	TStringStream	0x48	0x4d2bf8	0
4d34e8	TResourceStream	0x38	0x4d2338	0
4d3888	TProxySubrangeStream	0x30	0x4ce278	0
4d3ef8	TStreamAdapter	0x38	0x4035e8	0
4d46e0	TClassFinder	0x20	0x401970	0
4d4cb0	TFiler	0x58	0x401970	0
4d59e0	TReader	0x120	0x4d4c00	0
4d7458	TWriter	0xa0	0x4d4c00	0
4d88b8	EThread	0x38	0x42dff8	0
4d89e0	EThreadExternalException	0x38	0x4d8808	0
4d8e40	TThread	0x50	0x401970	0
4d9e98	TComponentEnumerator	0x20	0x401970	0
4da4d0	ComponentPlatformsAttribute	0x18	0x4025c8	0
4da860	TObservers	0x28	0x401970	0
4daed8	EObserverException	0x38	0x42dff8	0
4db018	TDefaultAttributeBase	0x28	0x4025c8	0
4db5b0	TComponent	0x80	0x4c9a90	0
4dc760	TBasicActionLink	0x28	0x401970	0
4dcbd0	TBasicAction	0xc8	0x4db500	0
4dd1b0	TDataModule	0xb8	0x4db500	0
4dd730	TEnumerator<System.IInterface>	0x10	0x401970	0
4dd910	TEnumerable<System.IInterface>	0x10	0x401970	0
4dddd8	TList<System.IInterface>.TEnumerator	0x20	0x4dd680	0
4de050	TList<System.IInterface>	0x58	0x4dd860	0
4df728	TThreadList<System.IInterface>	0x28	0x401970	0
4dfbb0	TEnumerator<System.Classes.TCollectionItem>	0x10	0x401970	0
4dfda8	TEnumerable<System.Classes.TCollectionItem>	0x10	0x401970	0
4e02f0	TList<System.Classes.TCollectionItem>.TEnumerator	0x20	0x4dfb00	0
4e0578	TList<System.Classes.TCollectionItem>	0x58	0x4dfcf8	0
4e1cb8	TEnumerator<System.Classes.TStream>	0x10	0x401970	0
4e1ea0	TEnumerable<System.Classes.TStream>	0x10	0x401970	0
