# Improved FL_DispatchCommand call-site dump (backward immediate scan)
# FL_DispatchCommand(cmdId=RCX, value=RDX, flags=R8) @ 0xF53FE0
# callSiteRVA	caller	cmdId	value	flags
b69354	TParamCtrlForm.ParamWheelChange	computed	computed	0x3f5
b6939a	FUN_00b69370	computed	0x0	0x2
b9cfa6	FUN_00b9cd70	computed	computed	computed
c46867	FUN_00c467a0	computed	computed	computed
c4691b	FUN_00c468d0	computed	computed	0x821
c47303	FUN_00c47210	computed	computed	0x1
c48fa3	FUN_00c484b0	computed	computed	computed
c6e9a5	FUN_00c6e990	computed	computed	computed
cb09d7	FUN_00cb0780	computed	0x1	0x51
cb8a83	TToolbarForm.TSDFeedWheelChange	computed	computed	0x3cd
cb9923	TToolbarForm.MainPitchSliderChange	computed	computed	0x3cd
cb9943	TToolbarForm.MainVolSliderChange	computed	computed	0x185
cb9963	FUN_00cb9950	computed	computed	0x4
d64448	FUN_00d64030	computed	computed	0x11
df37d8	FUN_00df34b0	computed	computed	0x3d5
df3cf2	FUN_00df34b0	computed	computed	0x3d5
df4527	FUN_00df34b0	computed	computed	0x3f5
df453c	FUN_00df34b0	computed	0x0	0x2
df454f	FUN_00df34b0	computed	computed	0x4
df6d62	FUN_00df6810	0x40000005	computed	computed
dfa384	FUN_00dfa290	computed	computed	0x3d5
e015b6	FLpy_channels_getChannelVolume	computed	0x0	0x2
e01a11	FLpy_channels_getChannelPan	computed	0x0	0x2
e01e49	FLpy_channels_getChannelPitch	computed	0x0	0x2
e036c3	FUN_00e03640	computed	computed	0x83dd
e036e0	FUN_00e03640	computed	computed	0x3dd
e08282	FLpy_mixer_getPluginMuteState	computed	0x0	0x2
e09fca	FUN_00e09ef0	computed	computed	0x83dd
e09ff5	FUN_00e09ef0	computed	computed	0x3dd
e0a2b9	FL_cmdhandler_SetTempo	0x40000005	computed	0x3dd
e19fb7	FUN_00e19f40	computed	0x0	0x2
e1a9c2	FUN_00e1a920	computed	computed	0x3f5
e1a9da	FUN_00e1a920	computed	computed	0x3f5
e1a9f2	FUN_00e1a920	computed	computed	0x3f5
e1aa0a	FUN_00e1a920	computed	computed	0x3f5
e1aa22	FUN_00e1a920	computed	computed	0x3f5
e1cade	FLpy_device_getLinkedValueString	computed	0x0	0x2
e2c860	FUN_00e2c820	computed	computed	computed
e61c39	FUN_00e61c20	computed	0x0	0x2
e74104	FUN_00e6ac00	computed	computed	0x11
e742bd	FUN_00e6ac00	computed	0x0	0x1a
e74fef	FUN_00e6ac00	computed	computed	0x11
e7dd4d	FUN_00e7dd20	computed	computed	0x2
e7dd5e	FUN_00e7dd20	computed	computed	0x4
e7f556	TPluginForm.ChannelMuteBtnClick	computed	computed	0x3dd
e80ec0	TPluginForm.FormantShiftWheelHint	computed	computed	0x4
e8279b	FUN_00e81c40	computed	0x0	0x1a
e827d6	FUN_00e81c40	computed	0x0	0x1a
e8281a	FUN_00e81c40	computed	0x0	0x1a
e834cd	FUN_00e81c40	computed	0x0	0x1a
e852f5	FUN_00e81c40	computed	0x0	0x2
e85319	FUN_00e81c40	computed	computed	0x10
e86dc0	TPluginForm.VolWheelChange	computed	computed	0x3dd
e86df0	TPluginForm.PitchWheelChange	computed	computed	0x3cd
e86e20	TPluginForm.FTypeSelectChange	computed	computed	0x3cd
e86f74	TPluginForm.EnvEditorLFOAmntWheelChange	computed	computed	0x3dd
e878a3	TPluginForm.EnvPWheelChange	computed	computed	0x3cd
e878dd	FUN_00e878b0	computed	computed	0x4
e8b582	TPluginForm.StretchTimeWheelChange	computed	computed	0x3dd
e8c0e3	TPluginForm.MixLevelWheelChange	computed	computed	0x3dd
e8d828	TPluginForm.Osc1ShapeSelectChange	computed	computed	0x3cd
e91bac	FUN_00e91ab0	computed	0x0	0x1a
e94106	TPluginForm.FXRouteSelectChange	computed	computed	0x83dd
e94153	TPluginForm.FXRouteSelectChange	computed	computed	0x3dd
e942cd	TPluginForm.TrackPanWheelChange	computed	computed	0x3cd
e9430d	FUN_00e942e0	computed	computed	0x4
e95b19	TPluginForm.ACLFOSpeedWheelChange	computed	computed	0x3dd
