# FuncRVA	QualifiedName
5c9140	TCustomPanningWindow.GetIsPanning
5c9150	TCustomPanningWindow.StartPanning
5c9160	TCustomPanningWindow.StopPanning
62aba0	TPrinterCanvas.CreateHandle
62abe0	TPrinterCanvas.Changing
62ac10	TPrinterCanvas.UpdateFont
700780	TSmoothHackControl.Refresh
700770	TSmoothHackControl.WMWindowPosChanging
7116c0	TQuickPopupMenuWindow.ScrollBarSetKnobWidth
711640	TQuickPopupMenuWindow.ScrollBarChange
7136a0	TQuickPopupMenuWindow.FormGesture
722100	TFLBaseVectorForm.FormAlignPosition
7220f0	TFLBaseVectorForm.FormAlignInsertBefore
78b300	TPaletteEditorForm.FormShow
78f6a0	TPaletteEditorForm.HuePanelPaint
7906f0	TPaletteEditorForm.LuminancePanelPaint
78d260	TPaletteEditorForm.ColorPanelPaint
78aa70	TPaletteEditorForm.FormCreate
78ac50	TPaletteEditorForm.FormDestroy
791f40	TPaletteEditorForm.PalettePanelPaint
790f60	TPaletteEditorForm.PalettePanelMouseDown
78fc00	TPaletteEditorForm.HueSelectorChange
7903a0	TPaletteEditorForm.LuminancePanelMouseDown
790690	TPaletteEditorForm.LuminancePanelMouseUp
790400	TPaletteEditorForm.LuminancePanelMouseMove
78ed70	TPaletteEditorForm.HuePanelMouseDown
78efa0	TPaletteEditorForm.HuePanelMouseMove
78f680	TPaletteEditorForm.HuePanelMouseUp
795860	TPaletteEditorForm.ResetBtnClick
795800	TPaletteEditorForm.ResetAllBtnClick
78c3a0	TPaletteEditorForm.ModeCircleClick
78c520	TPaletteEditorForm.ModeSafeColoursClick
78d150	TPaletteEditorForm.ColorPanelMouseDown
7952b0	TPaletteEditorForm.PresetsPanelPaint
794e60	TPaletteEditorForm.PresetsPanelMouseDown
794ea0	TPaletteEditorForm.PresetsPanelMouseMove
795040	TPaletteEditorForm.PresetsPanelMouseUp
78e960	TPaletteEditorForm.HistoryPanelPaint
78e720	TPaletteEditorForm.HistoryPanelMouseDown
7956b0	TPaletteEditorForm.RandomiseBtnClick
78e550	TPaletteEditorForm.DefaultBtnClick
78c6e0	TPaletteEditorForm.TypeInBtnClick
78a990	TPaletteEditorForm.SnapBtnClick
78ff10	TPaletteEditorForm.HueSelectorMouseDown
791160	TPaletteEditorForm.PalettePanelMouseMove
78cf50	TPaletteEditorForm.CircleBtnPaintCaption
78cf40	TPaletteEditorForm.CircleBtnClick
78e8a0	TPaletteEditorForm.HistoryPanelMouseMove
78acf0	TPaletteEditorForm.FormKeyDown
78e710	TPaletteEditorForm.DropperBtnClick
78d140	TPaletteEditorForm.ColorPanelDblClick
78d5b0	TPaletteEditorForm.CopyToLastBtnClick
7914d0	TPaletteEditorForm.PalettePanelMouseUp
797e30	TNameEditForm.NameEditFormKeyDown
798090	TNameEditForm.FormCreate
79a3e0	TNameEditForm.ColMenuOpenWindow
79ae20	TNameEditForm.ColorBtnBeforePopup
79aea0	TNameEditForm.Color1BtnMouseDown
79a750	TNameEditForm.ColMenuSelectItem
79a720	TNameEditForm.ColMenuPopup
79b6e0	TNameEditForm.IconMenuOpenWindow
79ba30	TNameEditForm.IconMenuSelectItem
79b9b0	TNameEditForm.IconMenuPopup
79ba60	TNameEditForm.IconBtnBeforePopup
79b2a0	TNameEditForm.PresetsMenuOpenWindow
798060	TNameEditForm.FormActivate
79acc0	TNameEditForm.Color2BtnMouseDown
798380	TNameEditForm.FormDestroy
797c00	TNameEditForm.EventTypeBtnClick
798040	TNameEditForm.NameEditKeyPress
9e0920	TBrowserForm.FormCreate
9e0850	TBrowserForm.FormShow
9e0810	TBrowserForm.FormDestroy
9e09b0	TBrowserForm.FormResize
a89ba0	TMsgForm.FormCreate
a8cfb0	TMsgForm.FormShow
a8d030	TMsgForm.FormClose
a8cff0	TMsgForm.FormCanResize
a8ab40	TMsgForm.RandErLabels
a89d90	TMsgForm.FormKeyPress
a8de30	TMsgForm.PluginsPaintBoxPaint
a8e190	TMsgForm.ButtonOnPaintCaption
a8e370	TMsgForm.ButtonCheckOnPaintCaption
a89700	TMsgForm.PluginsCartCheckBoxClick
a89880	TMsgForm.FLStudioCartCheckBoxClick
a8a400	TMsgForm.ClientPanelResize
b2a530	TInfoForm.URLLabelClick
b2a500	TInfoForm.FormKeyPress
b2a510	TInfoForm.FormDeactivate
b2a5a0	TInfoForm.FormCreate
b2a8c0	TInfoForm.FormClose
b2a320	TInfoForm.InfoMemoClick
b58840	TQuickEditToolbarContainer.FormCreate
b589f0	TQuickEditToolbarContainer.FormDestroy
b59ac0	TQuickEditToolbarContainer.ControlDropPanelPaint
b59b90	TQuickEditToolbarContainer.ControlDropPanelResize
b58ae0	TQuickEditToolbarContainer.InitControls
b58a30	TQuickEditToolbarContainer.ToggleDropPanelControl
b59aa0	TQuickEditToolbarContainer.CloseBtnClick
b594c0	TQuickEditToolbarContainer.PresetSelectBeforePopup
b64f60	TFLHintBarForm.FormCreate
b65730	TFLHintBarForm.FormPaint
b65460	TFLHintBarForm.FormMouseDown
b65420	TFLHintBarForm.FormDestroy
b67840	TPRQuantizeForm.FormCreate
b67c20	TPRQuantizeForm.FormDestroy
b68710	TPRQuantizeForm.OpenBtnClick
b68810	TPRQuantizeForm.PanWheelChange
b68880	TPRQuantizeForm.SensivityWheelChange
b688d0	TPRQuantizeForm.PanWheelMouseDown
b68680	TPRQuantizeForm.ResetBtnClick
b67f10	TPRQuantizeForm.ModeSelectGetText
b68300	TPRQuantizeForm.PresetBtnBeforePopup
b67ce0	TPRQuantizeForm.FormShow
b69030	TParamCtrlForm.FormCreate
b68fe0	TParamCtrlForm.FormClose
b69250	TParamCtrlForm.FormShow
b69f70	TParamCtrlForm.ParamWheelRelease
b69f40	TParamCtrlForm.ParamWheelMouseUp
b69310	TParamCtrlForm.ParamWheelChange
b692e0	TParamCtrlForm.CtrlTypeSelectChange
b72de0	TInAppShopForm.FormCreate
b72fa0	TInAppShopForm.FormDestroy
b73040	TInAppShopForm.FormShow
b72fe0	TInAppShopForm.FormClose
b80550	TCloudAccountsForm.FormCreate
b80ad0	TCloudAccountsForm.FormShow
b80b10	TCloudAccountsForm.DoneBtnClick
b80530	TCloudAccountsForm.CancelBtnClick
b80a60	TCloudAccountsForm.FormDestroy
b80540	TCloudAccountsForm.FormClose
b80b20	TCloudAccountsForm.CloudConnectBtnClick
b80b40	TCloudAccountsForm.CloudDisconnectBtnClick
b80b60	TCloudAccountsForm.SoundCloudPaintBoxPaint
b80c70	TCloudAccountsForm.SoundCloudConnectBtnPaint
b80fd0	TCloudAccountsForm.SoundCloudDisconnectBtnPaint
b81320	TCloudAccountsForm.YouTubePaintBoxPaint
b81470	TCloudAccountsForm.YouTubeConnectBtnPaint
b816e0	TCloudAccountsForm.YouTubeDisconnectBtnPaint
b81940	TCloudAccountsForm.StatusPaintBoxPaint
b8a450	TDWPRenderForm.OkBtnClick
b8ca60	TDWPRenderForm.FormCloseQuery
b8c6c0	TDWPRenderForm.CancelBtnClick
b8ce50	TDWPRenderForm.FormShow
b8cea0	TDWPRenderForm.FormCreate
b8d550	TDWPRenderForm.BackBtnClick
b8d650	TDWPRenderForm.FormClose
b8d580	TDWPRenderForm.FormAlignPosition
b8cfb0	TDWPRenderForm.FormDestroy
b8d420	TDWPRenderForm.MIDILowNoteSelectGetText
b8d4e0	TDWPRenderForm.MIDILowNoteSelectMouseDown
b8c810	TDWPRenderForm.LoopTuningBoxClick
b8c6e0	TDWPRenderForm.EnableLoopingBoxClick
b8d0a0	TDWPRenderForm.MIDIHighNoteSelectChange
b8d0e0	TDWPRenderForm.MIDIKbLayerChange
