# module	name	funcRVA	flags	doc
?	getNote	b7e0a0	1	
?	addNote	b7e210	1	
?	deleteNote	b7e130	1	
?	getMarker	b7e280	1	
?	addMarker	b7e3c0	1	
?	deleteMarker	b7e300	1	
?	clear	b7e680	1	
?	clearNotes	b7e470	1	
?	clearMarkers	b7e520	1	
?	getTimelineSelection	b7e790	4	
?	setTimelineSelection	b7e810	1	
?	getDefaultNoteProperties	b7e860	4	
?	getNextFreeGroupIndex	b7ea20	4	
?	loadScoreFromFile	b7ea80	1	
?	ProgressMsg	b7ed70	1	
?	ShowMessage	b7ee20	1	
?	log	b7ef10	1	
?	addChordMarker	c69530	1	
?	getChordMarker	c695b0	1	
?	clearChordMarkers	c69630	4	
?	Execute	cf0e70	4	
?	execute	cf0e70	4	
?	AddInputKnob	cf0eb0	3	
?	addInputKnob	cf0eb0	3	
?	AddInputKnobInt	cf1020	3	
?	addInputKnobInt	cf1020	3	
?	GetInputValue	cf12c0	1	
?	getInputValue	cf12c0	1	
?	AddInput	cf15a0	3	
?	addInput	cf15a0	3	
?	AddInputCombo	cf1960	3	
?	addInputCombo	cf1960	3	
?	AddInputText	cf1830	3	
?	addInputText	cf1830	3	
?	AddInputCheckbox	cf11a0	3	
?	addInputCheckbox	cf11a0	3	
?	AddInputSurface	cf16c0	1	
?	addInputSurface	cf16c0	1	
?	SetText	cf1c20	1	
?	setText	cf1c20	1	
?	setNormalizedValue	cf1ce0	1	
?	addGroup	cf1d90	1	
?	endGroup	cf1e50	4	
playlist	trackCount	dfd370	4	Get track count
playlist	getTrackName	dfd390	1	Get track name
playlist	setTrackName	dfd510	1	Set track name
playlist	getTrackColor	dfd670	1	Get track color
playlist	setTrackColor	dfd810	1	Set track color
playlist	isTrackMuted	dfd930	1	Get track mute state
playlist	muteTrack	dfdb00	3	Toggle track mute state
playlist	isTrackMuteLock	dfdc60	1	Get track mute lock state
playlist	muteTrackLock	dfdd90	1	Toggle track mute lock state
playlist	isTrackSolo	dfdec0	1	Get track solo state
playlist	soloTrack	dfe000	3	Toggle track solo state
playlist	isTrackSelected	dfe210	1	Get track selected state
playlist	selectTrack	dfe330	1	Set track selected state
playlist	selectAll	dfe4d0	4	Select all tracks
playlist	deselectAll	dfe5a0	4	Deselect all tracks
playlist	getTrackActivityLevel	dfe670	1	Get track activity level
playlist	getTrackActivityLevelVis	dfe6e0	1	Get track visual activity level
playlist	getDisplayZone	dfe750	4	Get display zone number
playlist	lockDisplayZone	dfe800	1	Lock display zone
playlist	liveDisplayZone	dfe9d0	3	Live display zone
