# Class	slot	funcRVA	currentName
TFruityPlugHost	0	40f9b0	FUN_0040f9b0
TFruityPlugHost	1	40f9c0	FUN_0040f9c0
TFruityPlugHost	2	40f9d0	FUN_0040f9d0
TFruityPlugHost	3	40c820	FUN_0040c820
TFruityPlugHost	4	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	5	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	6	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	7	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	8	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	9	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	10	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	11	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	12	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	13	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	14	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	15	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	16	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	17	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	18	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	19	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	20	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	21	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	22	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	23	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	24	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	25	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	26	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	27	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	28	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	29	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	30	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	31	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	32	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	33	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	34	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	35	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	36	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	37	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	38	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	39	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	40	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	41	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	42	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	43	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	44	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	45	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	46	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	47	40c820	TFruityPlugHost.vtbl_3
TFruityPlugHost	48	40c820	TFruityPlugHost.vtbl_3
TBaseAudioPlugin	0	40f9b0	TFruityPlugHost.vtbl_0
TBaseAudioPlugin	1	40f9c0	TFruityPlugHost.vtbl_1
TBaseAudioPlugin	2	40f9d0	TFruityPlugHost.vtbl_2
TBaseAudioPlugin	3	84cb70	FUN_0084cb70
TBaseAudioPlugin	4	84cba0	FUN_0084cba0
TBaseAudioPlugin	5	84cca0	FUN_0084cca0
TBaseAudioPlugin	6	84cda0	FUN_0084cda0
TBaseAudioPlugin	7	84cdc0	FUN_0084cdc0
TBaseAudioPlugin	8	84cdf0	FUN_0084cdf0
TBaseAudioPlugin	9	84d650	FUN_0084d650
TBaseAudioPlugin	10	84ce90	FUN_0084ce90
TBaseAudioPlugin	11	84ce40	FUN_0084ce40
TBaseAudioPlugin	12	84ce10	FUN_0084ce10
TBaseAudioPlugin	13	84cbc0	FUN_0084cbc0
TBaseAudioPlugin	14	84d310	FUN_0084d310
TBaseAudioPlugin	15	84d480	FUN_0084d480
TBaseAudioPlugin	16	84d4a0	FUN_0084d4a0
TBaseAudioPlugin	17	84d5e0	FUN_0084d5e0
TBaseAudioPlugin	18	84d600	FUN_0084d600
TBaseAudioPlugin	19	84d440	FUN_0084d440
TBaseAudioPlugin	20	84c4d0	FUN_0084c4d0
TBaseAudioPlugin	21	84d380	FUN_0084d380
TBaseAudioPlugin	22	84c860	FUN_0084c860
TBaseAudioPlugin	23	84d3c0	FUN_0084d3c0
TBaseAudioPlugin	24	84c3a0	FUN_0084c3a0
TBaseAudioPlugin	25	84d1c0	FUN_0084d1c0
TBaseAudioPlugin	26	84c510	FUN_0084c510
