name	kind	ghidra2025	ghidra2026	dispOff	instrEnd	pattern
FLui_CreateFormFromClassRef	Function	010c2aa0	11c2870	-	-	48 83 EC 28 48 8B 05 ?? ?? ?? ?? 48 8B 00 49 89 C8 49 89 D1
FLwp_SetFormCaption	Function	00841690	869370	-	-	57 56 53 48 83 EC 20 48 89 CB 48 89 D6 48 8B 8B 10 01 00 00
FLwp_SetVisible	Function	00833ec0	85bba0	-	-	57 56 53 48 83 EC 20 48 89 CB 40 89 D6 48 0F B6 83 6C 06 00 00
FLui_ZOrderRefresh	Function	005d0ea0	60a780	-	-	56 53 48 83 EC 28 48 89 CB 48 89 D9 66 BA CE FF E8 ?? ?? ?? ?? 48 89 C6 48 89 D9 B2 01
FLui_WP_GetHandle	Function	005ddf70	617850	-	-	53 48 83 EC 20 48 89 CB 48 89 D9 E8 ?? ?? ?? ?? 48 8B 83 5C 04 00 00
FLwp_SetWindowState	Function	00836600	85e2e0	-	-	53 48 83 EC 20 89 D3 38 99 C2 04 00 00 74 5B
FLui_DockLayout	Function	007e6170	808160	-	-	56 53 48 83 EC 28 48 89 CB 89 54 24 48 8B 44 24 48 89 83 D2 06 00 00
FLui_Focusable	Function	005de3e0	617cc0	-	-	56 53 48 83 EC 28 48 89 CB 40 89 D6 40 38 B3 7C 03 00 00
FLwp_Render	Function	0077adb0	79ad70	-	-	57 56 53 48 83 EC 20 48 89 CB 48 89 D9 E8 ?? ?? ?? ?? 48 8B 0D ?? ?? ?? ?? 48 0F B6 93 C3 05 00 00
FLui_WP_SetAlign	Function	005ceef0	6087d0	-	-	53 48 83 EC 30 88 54 24 48 48 0F B6 81 B3 00 00 00
FLwp_SetterA	Function	005d0d90	60a670	-	-	48 83 EC 28 38 91 AC 00 00 00 74 28 88 91 AC 00 00 00
FLwp_SetterB	Function	005d0c50	60a530	-	-	48 83 EC 28 38 91 AB 00 00 00 74 28 88 91 AB 00 00 00
FLwp_CreateButtonControl	Function	00f0ddb0	ff11e0	-	-	56 53 48 83 EC 28 48 8B 0D ?? ?? ?? ?? B2 01 4D 33 C0 E8 ?? ?? ?? ?? 48 89 C3 48 89 D9 33 D2 E8 ?? ?? ?? ?? 48 89 D9 48 8B 05 ?? ?? ?? ??
FLwp_SetButtonCaption	Function	005d0ae0	60a3c0	-	-	55 48 83 EC 40 48 8B EC 48 89 4D 28 48 89 55 30 48 C7 45 38 ?? ?? ?? ?? 90 48 8B 4D 28 48 8D 55 38 E8 ?? ?? ?? ?? 48 8B 4D 38 48 8B 55 30 E8 ?? ?? ?? ?? 85 C0 74 15 48 8B 4D 30
FLwp_SetControlValue	Function	005d0d10	60a5f0	-	-	56 53 48 83 EC 28 48 89 CB 39 93 C4 00 00 00
FLbrz_AddTabClone	Function	009ac910	a7cc20	-	-	55 41 55 57 56 53 48 81 EC B0 00 00 00 48 8B EC 48 89 4D 78
Delphi_UStrAsg	Function	004133f0	4133f0	-	-	41 55 57 56 53 48 83 EC 28 48 89 CB 49 89 D5 4C 89 EE 48 85 F6
FLmenu_CreateItem	Function	0070e1a0	72d670	-	-	55 57 56 48 83 EC 50 48 8B EC 48 89 4D 28 89 55 34 4C 89 CE
FL_ChildCount	Function	0081dda0	83fdf0	-	-	48 8B 81 B0 00 00 00 48 85 C0 75 04 33 C0
FL_ChildAt	Function	0081ddc0	83fe10	-	-	56 53 48 83 EC 28 48 89 CB 89 D6 48 83 BB B0 00 00 00 00
FL_FreeObj	Function	0040faa0	40faa0	-	-	53 48 83 EC 20 48 85 C9 74 0E 48 89 C8 B2 01
FL_ListRemoveAt	Function	0064f4d0	663b10	-	-	53 48 83 EC 20 83 69 10 01 8B 41 10 3B D0
FLui_SetStatusHint	Function	010ec870	11eb580	-	-	53 48 83 EC 20 4D 33 C0 E8 ?? ?? ?? ?? 84 C0
FormShortCut	Function	0114de10	1248140	-	-	41 55 57 56 53 48 83 EC 28 48 89 CB 48 89 D6 4C 89 C7 80 BB C5 04 00 00 00
FormKeyDown	Function	010c9920	11c9980	-	-	55 53 48 81 EC B8 00 00 00 48 8B EC 48 89 4D 58 48 89 55 60 4C 89 45 68
FLgl_GlobalCommandDispatch	Function	00ef7b20	fd8800	-	-	55 57 56 53 48 81 EC 68 01 00 00 48 8B EC 89 4D 40 89 55 44
FLtr_SeekToSongTick	Function	010e3470	11e1860	-	-	56 53 48 83 EC 48 66 0F ?? ?? ?? ?? 66 0F ?? ?? ?? ?? 66 0F 29 C6
FL_DispatchCommand	Function	00f53fe0	1041320	-	-	55 56 53 48 81 EC 90 05 00 00 48 8B EC 48 C7 45 50 ?? ?? ?? ??
FLpat_RebuildPattern	Function	011d4140	12cf620	-	-	55 41 56 41 55 57 56 53 48 83 EC 68 48 8B EC 89 4D 20 88 55 27
FLpat_NotifyChanged	Function	00f53d30	1041070	-	-	56 53 48 83 EC 28 48 8B 05 ?? ?? ?? ?? 48 83 38 00 74 4C 48 8B 05 ?? ?? ?? ??
FLui_RefreshEditors	Function	00d421c0	e43d70	-	-	57 56 53 48 83 EC 20 33 C0 48 8B 0D ?? ?? ?? ?? 8B 79 10 83 EF 01 89 C3 3B DF 7F 33
FLcr_RefreshRack	Function	0107ead0	11804a0	-	-	56 53 48 83 EC 28 48 8B 05 ?? ?? ?? ?? 8B 08
FLpat_GetNoteRecorder	Function	011d4080	12cf560	-	-	57 56 53 48 83 EC 20 89 CB 40 89 D6 48 8D 05 ?? ?? ?? ?? 48 63 CB 48 C1 E1 03 48 8D 0C 49 48 8D 3C C8 48 ?? ?? ?? ?? 75 3C
FLpat_GetParamRecorder	Function	011d4000	12cf4e0	-	-	57 56 53 48 83 EC 20 89 CB 40 89 D6 48 8D 05 ?? ?? ?? ?? 48 63 CB 48 C1 E1 03 48 8D 0C 49 48 8D 3C C8 48 ?? ?? ?? ?? 75 3F
FLpat_RecordNoteOn	Function	00f6d740	105abc0	-	-	55 41 56 41 55 57 56 53 48 83 EC 48 48 8B EC 48 89 CB 89 D6 44 89 C7 45 89 CD 48 89 D9
FLpat_RecordNoteOff	Function	00f6d880	105ad00	-	-	41 56 41 55 57 56 53 48 83 EC 20 48 89 CB 89 D6 44 89 C7 44 8B 6B 14 41 83 ED 01 45 8B F1
FLpat_SetCurrentPattern	Function	00cbb300	dce120	-	-	55 53 48 83 EC 68 48 8B EC 48 89 6D 28 89 8D ?? ?? ?? ?? 48 8B 05 ?? ?? ?? ??
FLpat_IsPatternEmpty	Function	011db510	12d6bf0	-	-	48 8D 05 ?? ?? ?? ?? 48 63 C9 48 C1 E1 03 48 8D 0C 49 48 8D 0C C8
FLpat_NoteArrayClear	Function	011e0930	12dcc40	-	-	55 53 48 83 EC 38 48 8B EC 48 89 CB C7 43 14 00 00 00 00 48 89 5D 28 48 8B 45 28 48 63 40 14 48 3D 80 00 00 00 7F 05 B8 80 00 00 00
FLpat_SetPatternName	Function	011d3960	12cee40	-	-	56 53 48 83 EC 28 89 CB 48 8D 05 ?? ?? ?? ??
FLcr_ChannelListGetItem	Function	00f00f80	fe4090	-	-	8B 41 10 83 E8 01 48 63 C0 4C 63 C2 4D 85 C0
FLcr_SelectOneChannel	Function	010e3eb0	11e2300	-	-	57 56 53 48 83 EC 20 89 CB 48 8B 05 ?? ?? ?? ?? 48 8B 00 8B 40 10
FLcr_ApplyChannelSolo	Function	00e012f0	d5a3c0	-	-	55 53 48 83 EC 38 48 8B EC 48 89 CB 48 C7 43 60 FE FF FF FF 48 8B 05 ?? ?? ?? ?? 48 8B 00 48 8B 40 08 48 89 C1 48 8B 00 FF 90 A0 00 00 00 84 C0 74 54 8B 4B 18 48 83 7B 28 00
FLcr_InsertChannel	Function	00f215e0	fff2f0	-	-	41 55 57 56 53 48 83 EC 28 89 CB 40 89 D6 44 89 C7 48 8B 05 ?? ?? ?? ??
FLcr_GetEventIDName	Function	00f5ca00	1049e60	-	-	55 56 53 48 81 EC 60 01 00 00 48 8B EC 89 55 34
Delphi_DynArraySetLength	Function	00417fc0	417fc0	-	-	55 53 48 83 EC 28 48 8B EC 4C 89 4D 58 48 89 4D 40
FLac_DeletePoint	Function	00b30ad0	b97e30	-	-	41 55 57 56 53 48 83 EC 28 48 89 CB 41 89 D5 48 89 D9 44 89 EA 48 8B 03 FF 50 30 84 C0
FLmx_RefreshRouting	Function	011a5d20	12a0d50	-	-	53 48 83 EC 20 48 89 CB E8 ?? ?? ?? ?? 48 8B 05 ?? ?? ?? ?? 8B 08 BA 1A 00 00 00 41 B0 01
FLpl_SetCurrentArrangement	Function	011fc880	12f8bc0	-	-	55 56 53 48 83 EC 60 48 8B EC 89 4D 34 48 C7 45 50 ?? ?? ?? ??
FLpl_SetTrackNameColor	Function	011e7940	12e3c40	-	-	55 53 48 83 EC 48 48 8B EC 4C 89 45 28 44 89 4D 34
FLpl_SetTrackSolo	Function	011e9810	12e5b10	-	-	55 41 55 57 56 53 48 83 EC 50 48 8B EC 48 89 4D 30 89 55 3C 44 89 C3 44 89 CE 48 8B 4D 30
FLpl_SetTrackSelection	Function	011e9c30	12e5f30	-	-	53 48 83 EC 20 4D 0F B6 C0 41 83 F8 05 7F 51
FLpl_RecountActiveClips	Function	00f6e180	105b600	-	-	57 56 53 48 83 EC 20 48 89 CB C7 43 48 00 00 00 00
FLpl_SetClipSourceRange	Function	00f71a70	105ef70	-	-	55 56 53 48 83 EC 60 48 8B EC 66 44 ?? ?? ?? ?? 66 ?? ?? ?? ?? 66 ?? ?? ?? ?? 48 89 CB 66 0F 29 CE 66 0F 29 D7 F2 0F 10 05 ?? ?? ?? ??
FLpr_OpenProject	Function	010d50c0	11d52c0	-	-	55 53 48 83 EC 68 48 8B EC 48 C7 45 20 ?? ?? ?? ?? 48 C7 45 28 ?? ?? ?? ?? 48 C7 45 30 ?? ?? ?? ?? 48 C7 45 58 ?? ?? ?? ??
